name|id|imageurl|effects
 No Rune|0||
Anti-Clockwise Metamorphosis (3)|1||[{"effect":  "Boosts Max Stamina 20%", "alters": "Stamina",  "method": "mul", "value": 1.20}]
Arcane Lake (3)|2||[{"effect":  "Increases Arcane DEF 10%", "alters": "Arcane DEF",  "method": "mul", "value": 1.10}]
Beast (3)|3||[{"effect":  "Boost effect from transformation +100", "alters": "",  "method": "", "value": 0}]
Blood Rapture (3)|4||[{"effect":  "V. ATKs restore 300 HP", "alters": "",  "method": "", "value": 0}]
Clawmark (3)|5||[{"effect":  "Strengthens V. ATKs 30%", "alters": "",  "method": "", "value": 0}]
Clear Deep Sea (3)|6||[{"effect":  "Increases slow poison resistance +300", "alters": "Slow Poison RES",  "method": "add", "value": 300}]
Clockwise Metamorphosis (3)|7||[{"effect":  "Boosts max HP +15%", "alters": "HP",  "method": "mul", "value": 1.15}]
Communion (5)|8||[{"effect": "Blood Vial Maximum +5", "alters": "",  "method": "", "value": 0}]
Corruption|9||[{"effect": "+1 Health Regen near death", "alters": "",  "method": "", "value": 0}]
Deep Sea (3)|10||[{"effect": "Increase frenzy resistance +300", "alters": "Frenzy RES",  "method": "add", "value": 300}]
Dissipating Lake (2)|11||[{"effect": "Increase Bolt defense +10%", "alters": "Bolt DEF",  "method": "mul", "value": 1.10}]
Eye (3)|12||[{"effect": "Item Discovery +100", "alters": "Discovery",  "method": "add", "value": 100}]
Fading Lake (2)|13||[{"effect": "Increases Fire DEF +10%", "alters": "Fire DEF",  "method": "mul", "value": 1.10}]
Formless Oedon (3)|14||[{"effect": "Quicksilver Bullet Max +5", "alters": "",  "method": "", "value": 0}]
Great Deep Sea (2)|15||[{"effect": "Increases Slow Poison RES +150", "alters": "Slow Poison RES",  "method": "add", "value": 150},{"effect": "Increases Rapid Poison RES +150", "alters": "Rapid Poison RES",  "method": "add", "value": 150},{"effect": "Increases Frenzy RES +150", "alters": "Frenzy RES",  "method": "add", "value": 150}]
Lake (3)|16||[{"effect": "Increases Physical DEF +7%", "alters": "Physical DEF",  "method": "mul", "value": 1.07}]
Hunter|17||[{"effect": "Stamina recovery speed increased", "alters": "",  "method": "", "value": 0}]
Great Lake (3)|18||[{"effect": "Increases Physical DEF +5%", "alters": "Physical DEF",  "method": "mul", "value": 1.05},{"effect": "Increases VS. Blunt DEF +5%", "alters": "VS. Blunt",  "method": "mul", "value": 1.05},{"effect": "Increases VS. Thrust DEF +5%", "alters": "VS. Thrust",  "method": "mul", "value": 1.05},{"effect": "Increses Blood DEF +5%", "alters": "Blood DEF", "method": "mul", "value": 1.05},{"effect": "Increses Fire DEF +5%", "alters": "Fire DEF", "method": "mul", "value": 1.05},{"effect": "Increses Bolt DEF +5%", "alters": "Bolt DEF", "method": "mul", "value": 1.05}]
Moon (3)|19||[{"effect": "Gain 30% more Blood Echoes", "alters": "",  "method": "", "value": 0}]
Oedon Writhe (3)|20||[{"effect": "Visceral Attacks grant Quicksilver Bullets (+3)", "alters": "",  "method": "", "value": 0}]
Radiance|21||[{"effect": "Increases HP recovered by blood vials", "alters": "",  "method": "", "value": 0}]
Stunning Deep Sea (2)|22||[{"effect": "Increases rapid poison resistance (+300)", "alters": "Rapid Poison RES",  "method": "add", "value": 300}]
Anti-Clockwise Metamorphosis (1)|23||[{"effect":  "Boosts Max Stamina 10%", "alters": "Stamina",  "method": "mul", "value": 1.10}]
Anti-Clockwise Metamorphosis (2)|24||[{"effect":  "Boosts Max Stamina 15%", "alters": "Stamina",  "method": "mul", "value": 1.15}]
Arcane Lake (1)|25||[{"effect":  "Increases Arcane DEF 5%", "alters": "Arcane DEF",  "method": "mul", "value": 1.05}]
Arcane Lake (2)|26||[{"effect":  "Increases Arcane DEF 7%", "alters": "Arcane DEF",  "method": "mul", "value": 1.07}]
Beast (1)|27||[{"effect":  "Boost effect from transformation +20", "alters": "",  "method": "", "value": 0}]
Beast (2)|28||[{"effect":  "Boost effect from transformation +50", "alters": "",  "method": "", "value": 0}]
Blood Rapture (1)|29||[{"effect":  "V. ATKs restore 200 HP", "alters": "",  "method": "", "value": 0}]
Blood Rapture (2)|30||[{"effect":  "V. ATKs restore 250 HP", "alters": "",  "method": "", "value": 0}]
Clawmark (1)|31||[{"effect":  "Strengthens V. ATKs 10%", "alters": "",  "method": "", "value": 0}]
Clawmark (2)|32||[{"effect":  "Strengthens V. ATKs 20%", "alters": "",  "method": "", "value": 0}]
Clear Deep Sea (1)|33||[{"effect":  "Increases slow poison resistance +300", "alters": "Slow Poison RES",  "method": "add", "value": 300}]
Clear Deep Sea (2)|34||[{"effect":  "Increases slow poison resistance +300", "alters": "Slow Poison RES",  "method": "add", "value": 300}]
Clockwise Metamorphosis (1)|35||[{"effect":  "Boosts max HP +5%", "alters": "HP",  "method": "mul", "value": 1.05}]
Clockwise Metamorphosis (2)|36||[{"effect":  "Boosts max HP +10%", "alters": "HP",  "method": "mul", "value": 1.10}]
Communion (1)|37||[{"effect": "Blood Vial Maximum +1", "alters": "",  "method": "", "value": 0}]
Communion (2)|38||[{"effect": "Blood Vial Maximum +2", "alters": "",  "method": "", "value": 0}]
Communion (3)|39||[{"effect": "Blood Vial Maximum +3", "alters": "",  "method": "", "value": 0}]
Communion (4)|40||[{"effect": "Blood Vial Maximum +4", "alters": "",  "method": "", "value": 0}]
Deep Sea (1)|41||[{"effect": "Increase frenzy resistance +100", "alters": "Frenzy RES",  "method": "add", "value": 100}]
Deep Sea (2)|42||[{"effect": "Increase frenzy resistance +200", "alters": "Frenzy RES",  "method": "add", "value": 200}]
Dissipating Lake (1)|43||[{"effect": "Increase Bolt defense +5%", "alters": "Bolt DEF",  "method": "mul", "value": 1.05}]
Eye (1)|44||[{"effect": "Item Discovery +50", "alters": "Discovery",  "method": "add", "value": 100}]
Eye (2)|45||[{"effect": "Item Discovery +70", "alters": "Discovery",  "method": "add", "value": 100}]
Fading Lake (1)|46||[{"effect": "Increases Fire DEF +5%", "alters": "Fire DEF",  "method": "mul", "value": 1.05}]
Formless Oedon (1)|47||[{"effect": "Quicksilver Bullet Max +3", "alters": "",  "method": "", "value": 0}]
Formless Oedon (2)|48||[{"effect": "Quicksilver Bullet Max +4", "alters": "",  "method": "", "value": 0}]
Great Deep Sea (1)|49||[{"effect": "Increases Slow Poison RES +100", "alters": "Slow Poison RES",  "method": "add", "value": 100},{"effect": "Increases Rapid Poison RES +100", "alters": "Rapid Poison RES",  "method": "add", "value": 100},{"effect": "Increases Frenzy RES +100", "alters": "Frenzy RES",  "method": "add", "value": 100}]
Lake (1)|50||[{"effect": "Increases Physical DEF +3%", "alters": "Physical DEF",  "method": "mul", "value": 1.03}]
Lake (2)|51||[{"effect": "Increases Physical DEF +5%", "alters": "Physical DEF",  "method": "mul", "value": 1.05}]
Great Lake (1)|52||[{"effect": "Increases Physical DEF +3%", "alters": "Physical DEF",  "method": "mul", "value": 1.03},{"effect": "Increases VS. Blunt DEF +3%", "alters": "VS. Blunt",  "method": "mul", "value": 1.03},{"effect": "Increases VS. Thrust DEF +3%", "alters": "VS. Thrust",  "method": "mul", "value": 1.03},{"effect": "Increses Blood DEF +3%", "alters": "Blood DEF", "method": "mul", "value": 1.03},{"effect": "Increses Fire DEF +3%", "alters": "Fire DEF", "method": "mul", "value": 1.03},{"effect": "Increses Bolt DEF +3%", "alters": "Bolt DEF", "method": "mul", "value": 1.03}]
Great Lake (2)|53||[{"effect": "Increases Physical DEF +4%", "alters": "Physical DEF",  "method": "mul", "value": 1.04},{"effect": "Increases VS. Blunt DEF +4%", "alters": "VS. Blunt",  "method": "mul", "value": 1.04},{"effect": "Increases VS. Thrust DEF +4%", "alters": "VS. Thrust",  "method": "mul", "value": 1.04},{"effect": "Increses Blood DEF +4%", "alters": "Blood DEF", "method": "mul", "value": 1.04},{"effect": "Increses Fire DEF +4%", "alters": "Fire DEF", "method": "mul", "value": 1.04},{"effect": "Increses Bolt DEF +4%", "alters": "Bolt DEF", "method": "mul", "value": 1.04}]
Moon (1)|54||[{"effect": "Gain 10% more Blood Echoes", "alters": "",  "method": "", "value": 0}]
Moon (2)|55||[{"effect": "Gain 20% more Blood Echoes", "alters": "",  "method": "", "value": 0}]
Oedon Writhe (1)|56||[{"effect": "Visceral Attacks grant Quicksilver Bullets (+1)", "alters": "",  "method": "", "value": 0}]
Oedon Writhe (2)|57||[{"effect": "Visceral Attacks grant Quicksilver Bullets (+2)", "alters": "",  "method": "", "value": 0}]
Stunning Deep Sea (1)|58||[{"effect": "Increases rapid poison resistance (+200)", "alters": "Rapid Poison RES",  "method": "add", "value": 200}]
Impurity|59||[{"effect": "Increases max HP by 2% during co-op", "alters": "HP",  "method": "mul", "value": 1.02}]
Milkweed|60||[{"effect": "+29 to Item Discovery", "alters": "",  "method": "", "value": 0}, {"effect": "Transforms the player into Kin form", "alters": "",  "method": "", "value": 0}]
Beast's Embrace|61||[{"effect": "Increased transformation effects",  "method": "", "value": 0}]
Guidance|62||[{"effect": "+20% rally potential",  "method": "", "value": 0}]
